clear_T,clear
295.29,337.15
287.98,265.28
287.6,266.77
284.8,242.17
288.17,280.49
280.21,232.17
279.51,230.45
284.8,270.15
290.6,298.33
288.87,287.16
289.01,289.07
289.31,302.31
281.09,246.08
287.76,284.83
281.66,248.84
286.05,271.53
283.12,247.46
293.28,322.63
286.79,280.76
288.42,277.06
284.31,264.98
280.78,253.19
279.99,250.53
286.15,267.14
289.83,280.03
289.52,282.71
288.73,266.84
296.65,331.66
293.28,321.51
282.8,262.17
280.86,236.06
291.0,308.31
283.9,267.13
286.81,271.24
293.59,302.05
279.0,238.69
293.43,313.2
288.18,277.78
285.74,271.72
294.69,317.59
291.65,323.96
286.2,277.68
286.72,283.62
281.62,256.39
287.74,276.61
283.28,258.04
280.03,231.9
292.18,321.11
282.47,251.09
288.3,281.05
290.19,295.48
288.19,279.67
291.65,324.71
295.75,325.6
293.82,328.81
286.88,280.56
284.56,264.71
281.47,234.63
283.02,247.19
290.37,298.47
286.66,289.43
282.21,243.04
298.77,365.82
287.24,285.31
285.7,249.54
282.89,232.36
298.05,343.82
287.72,295.43
288.62,300.94
287.43,273.06
284.99,242.93
285.07,273.89
284.82,254.12
288.39,303.25
